vencimento,data_de_competencia,cobranca_extraordinaria,valor,unidade,bloco,nosso_numero,complemento,conta_categoria
"15/03/2018","15/02/2018",1,"993.98","111","","1259201","","1.2"
"15/04/2018","15/03/2018",1,"1093.41","111","","1199085","","1.2"
"15/05/2018","15/04/2018",1,"1041.85","111","","1269067","","1.2"
"15/06/2018","15/05/2018",1,"1032.88","111","","1274321","","1.2"
"15/07/2018","15/06/2018",1,"1116.31","111","","1278855","","1.2"
"15/08/2018","15/07/2018",1,"1175.98","111","","1283755","","1.2"
"15/09/2018","15/08/2018",1,"1040.58","111","","1289293","","1.2"
"15/10/2018","15/09/2018",1,"977.6","111","","1294109","","1.2"
"15/11/2018","15/10/2018",1,"1153.58","111","","1299112","","1.2"
"18/12/2018","18/11/2018",1,"1185.67","111","","1304533","","1.2"
"15/01/2019","15/12/2018",1,"1203.99","111","","1308828","","1.2"
"20/02/2019","20/01/2019",1,"1099.65","111","","1314014","","1.2"
"13/02/2007","13/01/2007",1,"639.42","121","","320259","1/0","1.20"
"15/09/2018","15/08/2018",1,"1411.93","125","","1289324","","1.2"
"15/10/2018","15/09/2018",1,"1279.15","125","","1294140","","1.2"
"15/11/2018","15/10/2018",1,"1520.54","125","","1299143","","1.2"
"18/12/2018","18/11/2018",1,"1463.53","125","","1304565","","1.2"
"19/01/2019","19/12/2018",1,"1500.79","125","","1308860","","1.2"
"20/02/2019","20/01/2019",1,"1428.81","125","","1314045","","1.2"
"05/03/2016","05/02/2016",1,"759.47","126","","1146670","","1.1"
"10/07/2008","10/06/2008",1,"1044","ZELAD","","","13/12","1.20"
"10/05/2013","10/04/2013",1,"3000","ZELAD","","585910","5/0","1.20"
